SG_UF;CD_MUNICIPIO;NM_MUNICIPIO;NR_CANDIDATO;NM_URNA_CANDIDATO;QT_VOTOS_NOMINAIS
AC;1007;BUJARI;13;LULA;1958
AC;1007;BUJARI;22;JAIR BOLSONARO;4693
AC;1015;CAPIXABA;13;LULA;1497
AC;1015;CAPIXABA;22;JAIR BOLSONARO;3963
AC;1023;PORTO ACRE;13;LULA;2317
AC;1023;PORTO ACRE;22;JAIR BOLSONARO;7384
AC;1031;SANTA ROSA DO PURUS;13;LULA;1217
AC;1031;SANTA ROSA DO PURUS;22;JAIR BOLSONARO;1127
AC;1040;MARECHAL THAUMATURGO;13;LULA;2742
AC;1040;MARECHAL THAUMATURGO;22;JAIR BOLSONARO;3710
AC;1058;BRASILÉIA;13;LULA;3958
AC;1058;BRASILÉIA;22;JAIR BOLSONARO;9593
AC;1066;PORTO WALTER;13;LULA;2093
AC;1066;PORTO WALTER;22;JAIR BOLSONARO;1866
AC;1074;CRUZEIRO DO SUL;13;LULA;9733
AC;1074;CRUZEIRO DO SUL;22;JAIR BOLSONARO;31936
AC;1082;RODRIGUES ALVES;13;LULA;1455
AC;1082;RODRIGUES ALVES;22;JAIR BOLSONARO;6011
AC;1090;MÂNCIO LIMA;13;LULA;2708
AC;1090;MÂNCIO LIMA;22;JAIR BOLSONARO;6331
AC;1104;JORDÃO;13;LULA;1980
AC;1104;JORDÃO;22;JAIR BOLSONARO;1433
AC;1112;EPITACIOLÂNDIA;13;LULA;2464
AC;1112;EPITACIOLÂNDIA;22;JAIR BOLSONARO;6729
AC;1120;ACRELÂNDIA;13;LULA;1460
AC;1120;ACRELÂNDIA;22;JAIR BOLSONARO;5317
AC;1139;FEIJÓ;13;LULA;7113
AC;1139;FEIJÓ;22;JAIR BOLSONARO;6383
AC;1392;RIO BRANCO;13;LULA;53873
AC;1392;RIO BRANCO;22;JAIR BOLSONARO;142090
AC;1457;SENA MADUREIRA;13;LULA;4976
AC;1457;SENA MADUREIRA;22;JAIR BOLSONARO;13606
AC;1473;TARAUACÁ;13;LULA;6802
AC;1473;TARAUACÁ;22;JAIR BOLSONARO;9067
AC;1490;XAPURI;13;LULA;3634
AC;1490;XAPURI;22;JAIR BOLSONARO;5217
AC;1511;PLÁCIDO DE CASTRO;13;LULA;2306
AC;1511;PLÁCIDO DE CASTRO;22;JAIR BOLSONARO;6176
AC;1538;SENADOR GUIOMARD;13;LULA;3338
AC;1538;SENADOR GUIOMARD;22;JAIR BOLSONARO;9512
AC;1554;MANOEL URBANO;13;LULA;2047
AC;1554;MANOEL URBANO;22;JAIR BOLSONARO;2889
AC;1570;ASSIS BRASIL;13;LULA;1895
AC;1570;ASSIS BRASIL;22;JAIR BOLSONARO;2717
AL;27006;PARIPUEIRA;13;LULA;3742
AL;27006;PARIPUEIRA;22;JAIR BOLSONARO;4187
AL;27014;ÁGUA BRANCA;13;LULA;9400
AL;27014;ÁGUA BRANCA;22;JAIR BOLSONARO;1004
AL;27022;PARICONHA;13;LULA;5771
AL;27022;PARICONHA;22;JAIR BOLSONARO;562
AL;27030;ANADIA;13;LULA;6166
AL;27030;ANADIA;22;JAIR BOLSONARO;2019
AL;27049;ESTRELA DE ALAGOAS;13;LULA;6374
AL;27049;ESTRELA DE ALAGOAS;22;JAIR BOLSONARO;1201
AL;27057;ARAPIRACA;13;LULA;61009
AL;27057;ARAPIRACA;22;JAIR BOLSONARO;54674
AL;27065;JEQUIÁ DA PRAIA;13;LULA;2832
AL;27065;JEQUIÁ DA PRAIA;22;JAIR BOLSONARO;2854
AL;27073;ATALAIA;13;LULA;13340
AL;27073;ATALAIA;22;JAIR BOLSONARO;7544
AL;27081;CAMPESTRE;13;LULA;2695
AL;27081;CAMPESTRE;22;JAIR BOLSONARO;1089
AL;27090;BARRA DE SANTO ANTÔNIO;13;LULA;5155
AL;27090;BARRA DE SANTO ANTÔNIO;22;JAIR BOLSONARO;3586
AL;27111;BARRA DE SÃO MIGUEL;13;LULA;2699
AL;27111;BARRA DE SÃO MIGUEL;22;JAIR BOLSONARO;2871
AL;27138;BATALHA;13;LULA;6393
AL;27138;BATALHA;22;JAIR BOLSONARO;2982
AL;27154;BELÉM;13;LULA;2406
AL;27154;BELÉM;22;JAIR BOLSONARO;886
AL;27170;BELO MONTE;13;LULA;3113
AL;27170;BELO MONTE;22;JAIR BOLSONARO;1057
AL;27197;BOCA DA MATA;13;LULA;7724
AL;27197;BOCA DA MATA;22;JAIR BOLSONARO;5359
AL;27219;BRANQUINHA;13;LULA;4041
AL;27219;BRANQUINHA;22;JAIR BOLSONARO;1571
AL;27235;CACIMBINHAS;13;LULA;4147
AL;27235;CACIMBINHAS;22;JAIR BOLSONARO;1440
AL;27251;CAJUEIRO;13;LULA;6416
AL;27251;CAJUEIRO;22;JAIR BOLSONARO;2991
AL;27278;CAMPO ALEGRE;13;LULA;11486
AL;27278;CAMPO ALEGRE;22;JAIR BOLSONARO;6012
AL;27294;CAMPO GRANDE;13;LULA;5048
AL;27294;CAMPO GRANDE;22;JAIR BOLSONARO;1197
AL;27316;CANAPI;13;LULA;7473
AL;27316;CANAPI;22;JAIR BOLSONARO;1365
AL;27332;CAPELA;13;LULA;5228
AL;27332;CAPELA;22;JAIR BOLSONARO;3523
AL;27359;CARNEIROS;13;LULA;3888
AL;27359;CARNEIROS;22;JAIR BOLSONARO;810
AL;27375;CHÃ PRETA;13;LULA;3126
AL;27375;CHÃ PRETA;22;JAIR BOLSONARO;963
AL;27391;COITÉ DO NÓIA;13;LULA;5033
AL;27391;COITÉ DO NÓIA;22;JAIR BOLSONARO;1378
AL;27413;COLÔNIA LEOPOLDINA;13;LULA;5286
AL;27413;COLÔNIA LEOPOLDINA;22;JAIR BOLSONARO;4366
AL;27430;COQUEIRO SECO;13;LULA;2270
AL;27430;COQUEIRO SECO;22;JAIR BOLSONARO;1446
AL;27456;CORURIPE;13;LULA;12675
AL;27456;CORURIPE;22;JAIR BOLSONARO;14497
AL;27472;DELMIRO GOUVEIA;13;LULA;22688
AL;27472;DELMIRO GOUVEIA;22;JAIR BOLSONARO;5050
AL;27499;DOIS RIACHOS;13;LULA;4705
AL;27499;DOIS RIACHOS;22;JAIR BOLSONARO;1460
AL;27510;FEIRA GRANDE;13;LULA;10346
AL;27510;FEIRA GRANDE;22;JAIR BOLSONARO;2967
AL;27537;FELIZ DESERTO;13;LULA;1597
AL;27537;FELIZ DESERTO;22;JAIR BOLSONARO;690
AL;27553;FLEXEIRAS;13;LULA;2795
AL;27553;FLEXEIRAS;22;JAIR BOLSONARO;2841
AL;27570;GIRAU DO PONCIANO;13;LULA;15744
AL;27570;GIRAU DO PONCIANO;22;JAIR BOLSONARO;3511
AL;27596;IBATEGUARA;13;LULA;4916
AL;27596;IBATEGUARA;22;JAIR BOLSONARO;2761
AL;27618;IGACI;13;LULA;10837
AL;27618;IGACI;22;JAIR BOLSONARO;2627
AL;27634;IGREJA NOVA;13;LULA;9594
AL;27634;IGREJA NOVA;22;JAIR BOLSONARO;2944
AL;27650;INHAPI;13;LULA;7228
AL;27650;INHAPI;22;JAIR BOLSONARO;1387
AL;27677;JACARÉ DOS HOMENS;13;LULA;2788
AL;27677;JACARÉ DOS HOMENS;22;JAIR BOLSONARO;651
AL;27693;JACUÍPE;13;LULA;2722
AL;27693;JACUÍPE;22;JAIR BOLSONARO;1050
AL;27715;JAPARATINGA;13;LULA;2300
AL;27715;JAPARATINGA;22;JAIR BOLSONARO;2766
AL;27731;JARAMATAIA;13;LULA;2802
AL;27731;JARAMATAIA;22;JAIR BOLSONARO;760
AL;27758;JOAQUIM GOMES;13;LULA;6755
AL;27758;JOAQUIM GOMES;22;JAIR BOLSONARO;2751
AL;27774;JUNDIÁ;13;LULA;1756
AL;27774;JUNDIÁ;22;JAIR BOLSONARO;1010
AL;27790;JUNQUEIRO;13;LULA;9065
AL;27790;JUNQUEIRO;22;JAIR BOLSONARO;4665
AL;27812;LAGOA DA CANOA;13;LULA;8000
AL;27812;LAGOA DA CANOA;22;JAIR BOLSONARO;3278
AL;27839;LIMOEIRO DE ANADIA;13;LULA;10488
AL;27839;LIMOEIRO DE ANADIA;22;JAIR BOLSONARO;3331
AL;27855;MACEIÓ;13;LULA;204887
AL;27855;MACEIÓ;22;JAIR BOLSONARO;273549
AL;27871;MAJOR ISIDORO;13;LULA;7106
AL;27871;MAJOR ISIDORO;22;JAIR BOLSONARO;3361
AL;27898;MARAGOGI;13;LULA;6924
AL;27898;MARAGOGI;22;JAIR BOLSONARO;9451
AL;27910;MARAVILHA;13;LULA;4326
AL;27910;MARAVILHA;22;JAIR BOLSONARO;1122
AL;27936;MARECHAL DEODORO;13;LULA;13267
AL;27936;MARECHAL DEODORO;22;JAIR BOLSONARO;16560
AL;27952;MARIBONDO;13;LULA;4770
AL;27952;MARIBONDO;22;JAIR BOLSONARO;2425
AL;27979;MAR VERMELHO;13;LULA;1871
AL;27979;MAR VERMELHO;22;JAIR BOLSONARO;752
AL;27995;MATA GRANDE;13;LULA;9251
AL;27995;MATA GRANDE;22;JAIR BOLSONARO;1976
AL;28010;MATRIZ DE CAMARAGIBE;13;LULA;5615
AL;28010;MATRIZ DE CAMARAGIBE;22;JAIR BOLSONARO;6803
AL;28037;MESSIAS;13;LULA;5542
AL;28037;MESSIAS;22;JAIR BOLSONARO;3936
AL;28053;MINADOR DO NEGRÃO;13;LULA;2489
